キー 	Space同時押し 	Space、Shift同時押し 	Space、Ctrlt、Shift同時押し 	備考
h 	← 	Shift + ← 	Ctrl + Shift + ← 	カーソル移動、選択しつつ移動、選択しつつ単語単位で移動
j 	↓ 	Shift + ↓ 	Ctrl + Shift + ↓ 	同上
k 	↑ 	Shift + ↑ 	Ctrl + Shift + ↑ 	同上
l 	→ 	Shift + → 	Ctrl + Shift + → 	同上
f 	PgDn 	Shift + PgDn 	Ctrl + Shift + PgDn 	同上
b 	PgUp 	Shift + PgUp 	Ctrl + Shift + PgUp 	同上
0 	Home 	Shift + Home 	Ctrl + Shift + Home 	同上。本来は行内の移動なので、Ctrl同時押しは無くてよいのですが、{Blind}のせいでなんかそれなりに動きます。
4 	End 	Shift + End 	Ctrl + Shift + End 	同上。$キーのつもりですが、Space & で記述するに当たっては「4」と書かざるを得ませんでした
o 	End,Enter 	Home,Enter,Up,End 	定義無し 	行末へ行って改行、行頭へ行って改行して全行に戻る
x 	Delete 	BackSpace 	定義無し 	削除、後退
d 	Ctrl + x 	定義無し 	定義無し 	切り取り
i 	Tab 	定義無し 	定義無し 	Tab挿入
/ 	Ctrl + f 	定義無し 	定義無し 	検索ダイアログ
y 	Ctrl + c 	定義無し 	定義無し 	コピー
p 	Ctrl + v 	Excelで値貼り付け 	定義無し 	貼り付け
u 	Ctrl + z 	定義無し 	定義無し 	アンドゥ
r 	Ctrl + y 	定義無し 	定義無し 	リドゥ
q | Alt + F4 |　定義無し |　定義無し |　ウィンドウを閉じる
t | WIn + Tab |　定義無し |　定義無し |　タスクビュー
